Country,Railways
Tunisia,"total:
          2,173 km
          (1,991 in use)
          (2014)
        
        
          standard gauge:
          471 km
          1.435-m gauge
          (2014)
        
        
          narrow gauge:
          1,694 km
          1.000-m gauge (65 km electrified)
          (2014)
        
        
          dual gauge:
          8 km
          1.435-1.000-m gauge
          (2014)"
Turkey,"total:
          12,008 km
          
          (2014)
        
        
          standard gauge:
          12,008 km
          1.435-m gauge (3,216 km electrified)
          (2014)"
Turkmenistan,"total:
          5,113 km
          
          (2017)
        
        
          broad gauge:
          5,113 km
          1.520-m gauge
          (2017)"
Uganda,"total:
          1,244 km
          
          (2014)
        
        
          narrow gauge:
          1,244 km
          1.000-m gauge
          (2014)"
Ukraine,"total:
          21,733 km
          
          (2014)
        
        
          standard gauge:
          49 km
          1.435-m gauge (49 km electrified)
          (2014)
        
        
          broad gauge:
          21,684 km
          1.524-m gauge (9,250 km electrified)
          (2014)"
United Kingdom,"total:
          16,837 km
          
          (2015)
        
        
          standard gauge:
          16,534 km
          1.435-m gauge (5,357 km electrified)
          (2015)
        
        
          broad gauge:
          303 km
          1.600-m gauge (in Northern Ireland)
          (2015)"
United States,"total:
          293,564 km
          
          (2014)
        
        
          standard gauge:
          293,564.2 km
          1.435-m gauge
          (2014)"
Uruguay,"total:
          1,673 km
          (operational; government claims overall length is 2,961 km)
          (2016)
        
        
          standard gauge:
          1,673 km
          1.435-m gauge
          (2016)"
Uzbekistan,"total:
          4,642 km
          
          (2018)
        
        
          broad gauge:
          4,642 km
          1.520-m gauge (1,684 km electrified)
          (2018)"
Venezuela,"total:
          447 km
          
          (2014)
        
        
          standard gauge:
          447 km
          1.435-m gauge (41.4 km electrified)
          (2014)"
Vietnam,"total:
          2,600 km
          
          (2014)
        
        
          standard gauge:
          178 km
          1.435-m gauge; 253 km mixed gauge
          (2014)
        
        
          narrow gauge:
          2,169 km
          1.000-m gauge
          (2014)"
World,"total:
          1,148,186 km
           
          (2013)"
Zambia,"total:
          3,126 km
          
          (2014)
        
        
          narrow gauge:
          3,126 km
          1.067-m gauge
          (2014)
        

  

    
      note: includes 1,860 km of the Tanzania-Zambia Railway Authority (TAZARA)"
Zimbabwe,"total:
          3,427 km
          
          (2014)
        
        
          narrow gauge:
          3,427 km
          1.067-m gauge (313 km electrified)
          (2014)"
